,Candidate Deidentified ID,Work Company Name Deidentified ID,Work History Title,Work History Start Year,Work History End Year,Work History Start Month,Work History End Month
1517,88,1150.0,Data Analyst,2019.0,2021.0,6.0,11.0
1518,88,1151.0,Analytics Engineer,2023.0,,2.0,
1519,108,1152.0,Business Intelligence Analyst,2021.0,2023.0,7.0,12.0
1520,108,1153.0,Data Analyst,2019.0,2020.0,2.0,6.0
1521,108,1154.0,,2015.0,2017.0,,
1522,108,1155.0,BI Analyst,2020.0,2021.0,6.0,6.0
1523,578,,,,,,
1524,550,102.0,Data Analyst,2022.0,,1.0,
1525,550,173.0,Reporting Analyst,2019.0,2021.0,11.0,11.0
1526,689,1156.0,Associate DWH and Power BI Engineer,2018.0,2020.0,5.0,5.0
1527,689,1157.0,DB and BI Developer,2020.0,2021.0,5.0,10.0
1528,689,169.0,Senior BI and Database Consultant,2021.0,,11.0,
1529,522,1158.0,Teaching and Counselling Intern,2021.0,2021.0,3.0,4.0
1530,522,1159.0,Sales Intern,2023.0,2023.0,5.0,11.0
1531,522,1160.0,Marketing Intern,2021.0,2021.0,4.0,5.0
1532,522,1161.0,Data Analytics Intern,2021.0,2021.0,6.0,7.0
1533,22,1162.0,Data Analyst,2021.0,2021.0,6.0,8.0
1534,22,566.0,Digital Analyst,2022.0,2022.0,1.0,3.0
1535,22,1163.0,Data Analyst,2022.0,2023.0,9.0,6.0
1536,111,,,,,,
1537,690,1164.0,Data Analyst,2023.0,2023.0,2.0,8.0
1538,690,1165.0,Manager,2021.0,2022.0,11.0,11.0
1539,61,585.0,Junior Data Scientist,2024.0,,1.0,
1540,61,1166.0,Research Assistant,2021.0,2021.0,5.0,12.0
1541,61,1167.0,Junior Quantitative Analyst,2022.0,2023.0,1.0,6.0
1542,368,1168.0,Snr. Business Systems Analyst,2019.0,2022.0,2.0,2.0
1543,368,1168.0,Business Development Associate,2011.0,2012.0,2.0,2.0
1544,368,1169.0,Outreach Coordinator,2023.0,,9.0,
1545,368,1170.0,Business Analyst,2012.0,2019.0,9.0,2.0
1546,368,1171.0,Business Analyst,2023.0,2023.0,2.0,9.0
1547,368,1172.0,Business/Product Analyst,2022.0,2023.0,2.0,2.0
1548,30,1173.0,Business Analyst,2022.0,2023.0,9.0,5.0
1549,30,1174.0,Research Analyst Assistant,2021.0,2021.0,7.0,9.0
1550,30,1175.0,Data Analyst,2023.0,,8.0,
1551,764,1176.0,SENIOR BUSINESS INTELLIGENCE ANALYST,2023.0,,9.0,
1552,764,1177.0,BUSINESS INTELLIGENCE ANALYST,2021.0,2023.0,2.0,5.0
1553,764,1178.0,BUSINESS INTELLIGENCE ANALYST,2016.0,2020.0,6.0,12.0
1554,764,1179.0,DATABASE ANALYST,2023.0,2023.0,7.0,9.0
1555,47,1180.0,Data Analyst,2019.0,2020.0,9.0,1.0
1556,47,1181.0,Data Analyst,2021.0,2021.0,1.0,4.0
1557,47,1182.0,Intern Analyst,2017.0,2018.0,9.0,1.0
1558,47,1183.0,IT Business Analyst,2022.0,2022.0,1.0,4.0
1559,385,497.0,Senior Data Analyst,2020.0,2021.0,1.0,5.0
1560,385,1184.0,Business Analyst/ Business Administration,2021.0,2022.0,9.0,8.0
1561,385,1185.0,Business Analyst,2022.0,2022.0,9.0,12.0
1562,385,1186.0,Business Analyst,2023.0,2023.0,1.0,5.0
1563,385,48.0,Business Analyst,2023.0,,6.0,
1564,543,1187.0,Software Consultant,2012.0,2014.0,11.0,2.0
1565,543,1188.0,Salesforce Administrator Intern,2023.0,2023.0,5.0,8.0
1566,543,1189.0,DB2 DBA Developer,2014.0,2015.0,2.0,5.0
1567,543,1190.0,Senior System Engineer,2015.0,2016.0,5.0,5.0
1568,543,1191.0,Software Developer,2011.0,2012.0,3.0,10.0
1569,658,391.0,Tableau Developer,2020.0,2023.0,10.0,5.0
1570,658,391.0,Ab Initio Developer,2020.0,2021.0,10.0,10.0
1571,658,391.0,Python & Pyspark Developer,2021.0,2023.0,11.0,5.0
1572,102,1192.0,Director of Data Science,2020.0,2021.0,9.0,4.0
1573,102,54.0,Financial Analyst,2021.0,2021.0,5.0,9.0
1574,102,1167.0,Data Analyst,2019.0,2020.0,9.0,4.0
1575,102,54.0,Consultant,2022.0,2023.0,6.0,7.0
1576,102,54.0,IT Project Management Analyst,2021.0,2021.0,1.0,4.0
1577,166,1193.0,,2020.0,2021.0,7.0,5.0
1578,166,1194.0,Junior Software Developer,2021.0,2022.0,6.0,2.0
1579,166,1195.0,Student Business Analyst,2023.0,2023.0,1.0,3.0
1580,166,856.0,Associate Business Analyst,2023.0,2023.0,9.0,12.0
1581,80,104.0,Analyst,2018.0,2018.0,4.0,12.0
1582,80,91.0,Senior System Engineer,2019.0,2021.0,1.0,8.0
1583,80,196.0,Application Development Analyst,2021.0,2022.0,8.0,1.0
1584,80,1196.0,Site Reliability Engineer,2023.0,,10.0,
1585,131,,,,,,
1586,504,1197.0,Junior Data Analyst,2021.0,2022.0,9.0,7.0
1587,504,1198.0,Junior Information Analyst,2022.0,2023.0,7.0,1.0
1588,504,1199.0,Senior BI Developer,2023.0,,7.0,
1589,504,1199.0,Senior Information Analyst,2023.0,2023.0,1.0,7.0
1590,221,1200.0,,2022.0,2022.0,9.0,12.0
1591,221,1201.0,Data Analyst,2023.0,,1.0,
1592,204,1202.0,Junior PHP developer,2019.0,2021.0,11.0,1.0
1593,715,,,,,,
1594,375,1203.0,Junior Data Analyst,2020.0,2022.0,4.0,6.0
